username,created_at,favorite_count,retweet_count,reply_count,quote_count,lang,full_text,label,validasi_label,cleaning,case_folding,normalisasi,tokenize,stopword_removal,stemming_data
,Fri Nov 28 07:22:27 +0000 2025,0,0,0,0,in,@tanyakanrl lagi pake pyukang yul acne. dia mirip cetaphil tp lebih ada busa dikit. gentle sih soalnya di kulitku yg sensi gak bikin merah gitu. terus mantul bersihin minyak muka ,2,1,lagi pake pyukang yul acne dia mirip cetaphil tp lebih ada busa dikit gentle sih soalnya di kulitku yg sensi gak bikin merah gitu terus mantul bersihin minyak muka,lagi pake pyukang yul acne dia mirip cetaphil tp lebih ada busa dikit gentle sih soalnya di kulitku yg sensi gak bikin merah gitu terus mantul bersihin minyak muka,lagi pakai pyukang yul acne dia mirip cetaphil tapi lebih ada busa dikit gentle sih soalnya di kulitku yang sensi tidak bikin merah begitu terus mantul bersihin minyak muka,"['lagi', 'pakai', 'pyukang', 'yul', 'acne', 'dia', 'mirip', 'cetaphil', 'tapi', 'lebih', 'ada', 'busa', 'dikit', 'gentle', 'sih', 'soalnya', 'di', 'kulitku', 'yang', 'sensi', 'tidak', 'bikin', 'merah', 'begitu', 'terus', 'mantul', 'bersihin', 'minyak', 'muka']","['pakai', 'pyukang', 'yul', 'acne', 'cetaphil', 'busa', 'dikit', 'gentle', 'sih', 'kulitku', 'sensi', 'tidak', 'bikin', 'merah', 'mantul', 'bersihin', 'minyak', 'muka']",pakai pyukang yul acne cetaphil busa dikit gentle sih kulit sensi tidak bikin merah mantul bersihin minyak muka
,Fri Nov 28 03:40:17 +0000 2025,0,0,0,0,in,@tanyakanrl coba cetaphil atau wardah hydra rose itu ga bikin cekot cekit di wajah,2,1,coba cetaphil atau wardah hydra rose itu ga bikin cekot cekit di wajah,coba cetaphil atau wardah hydra rose itu ga bikin cekot cekit di wajah,coba cetaphil atau wardah hydra rose itu tidak bikin cekot cekit di wajah,"['coba', 'cetaphil', 'atau', 'wardah', 'hydra', 'rose', 'itu', 'tidak', 'bikin', 'cekot', 'cekit', 'di', 'wajah']","['coba', 'cetaphil', 'wardah', 'hydra', 'rose', 'tidak', 'bikin', 'cekot', 'cekit', 'wajah']",coba cetaphil wardah hydra rose tidak bikin cekot cekit wajah
,Fri Nov 28 02:27:27 +0000 2025,0,0,0,0,in,@tanyakanrl facewash pake cetaphil aja sunscreennya jgn lupa. aku pake hiqween,1,1,facewash pake cetaphil aja sunscreennya jgn lupa aku pake hiqween,facewash pake cetaphil aja sunscreennya jgn lupa aku pake hiqween,facewash pakai cetaphil saja sunscreennya jangan lupa aku pakai hiqween,"['facewash', 'pakai', 'cetaphil', 'saja', 'sunscreennya', 'jangan', 'lupa', 'aku', 'pakai', 'hiqween']","['facewash', 'pakai', 'cetaphil', 'sunscreennya', 'lupa', 'pakai', 'hiqween']",facewash pakai cetaphil sunscreennya lupa pakai hiqween
,Thu Nov 27 11:35:40 +0000 2025,1,0,0,0,in,@ohmy_beautybank kurangin konsumsi gula tepung dan jangan begadang. paling penting pake skincare yg gentle fw cetaphil moist labore. dan minum zinc. kalo dalam 2 minggu blm membaik konsul spkk nder. gausah buru2 treatment ato nyoba skincare ina inu. percaya deh,2,1,kurangin konsumsi gula tepung dan jangan begadang paling penting pake skincare yg gentle fw cetaphil moist labore dan minum zinc kalo dalam minggu blm membaik konsul spkk nder gausah buru treatment ato nyoba skincare ina inu percaya deh,kurangin konsumsi gula tepung dan jangan begadang paling penting pake skincare yg gentle fw cetaphil moist labore dan minum zinc kalo dalam minggu blm membaik konsul spkk nder gausah buru treatment ato nyoba skincare ina inu percaya deh,kurangi konsumsi gula tepung dan jangan begadang paling penting pakai skincare yang gentle fw cetaphil moist labore dan minum zinc kalau dalam minggu belum membaik konsultasi spkk nder tidak usah buru treatment atau mencoba skincare ina inu percaya deh,"['kurangi', 'konsumsi', 'gula', 'tepung', 'dan', 'jangan', 'begadang', 'paling', 'penting', 'pakai', 'skincare', 'yang', 'gentle', 'fw', 'cetaphil', 'moist', 'labore', 'dan', 'minum', 'zinc', 'kalau', 'dalam', 'minggu', 'belum', 'membaik', 'konsultasi', 'spkk', 'nder', 'tidak', 'usah', 'buru', 'treatment', 'atau', 'mencoba', 'skincare', 'ina', 'inu', 'percaya', 'deh']","['kurangi', 'konsumsi', 'gula', 'tepung', 'begadang', 'pakai', 'skincare', 'gentle', 'fw', 'cetaphil', 'moist', 'labore', 'minum', 'zinc', 'minggu', 'belum', 'membaik', 'konsultasi', 'spkk', 'nder', 'tidak', 'buru', 'treatment', 'mencoba', 'skincare', 'ina', 'inu', 'percaya', 'deh']",kurang konsumsi gula tepung begadang pakai skincare gentle fw cetaphil moist labore minum zinc minggu belum baik konsultasi spkk nder tidak buru treatment coba skincare ina inu percaya deh
,Thu Nov 27 08:11:03 +0000 2025,0,0,1,0,in,@soultieds pake cetaphil atau engga hadalabo deh muka mu sensitif ituu. better pake yang non alcohol,0,0,pake cetaphil atau engga hadalabo deh muka mu sensitif ituu better pake yang non alcohol,pake cetaphil atau engga hadalabo deh muka mu sensitif ituu better pake yang non alcohol,pakai cetaphil atau tidak hadalabo deh muka mu sensitif itu better pakai yang non alcohol,"['pakai', 'cetaphil', 'atau', 'tidak', 'hadalabo', 'deh', 'muka', 'mu', 'sensitif', 'itu', 'better', 'pakai', 'yang', 'non', 'alcohol']","['pakai', 'cetaphil', 'tidak', 'hadalabo', 'deh', 'muka', 'mu', 'sensitif', 'better', 'pakai', 'non', 'alcohol']",pakai cetaphil tidak hadalabo deh muka mu sensitif better pakai non alcohol
,Wed Nov 26 11:02:34 +0000 2025,0,0,0,0,in,@tisfosi kulitnya apa dulu? gw pake cetaphil micellar waternya dari garnier tipkul kombinasi,1,1,kulitnya apa dulu gw pake cetaphil micellar waternya dari garnier tipkul kombinasi,kulitnya apa dulu gw pake cetaphil micellar waternya dari garnier tipkul kombinasi,kulitnya apa dulu gue pakai cetaphil micellar waternya dari garnier tipkul kombinasi,"['kulitnya', 'apa', 'dulu', 'gue', 'pakai', 'cetaphil', 'micellar', 'waternya', 'dari', 'garnier', 'tipkul', 'kombinasi']","['kulitnya', 'gue', 'pakai', 'cetaphil', 'micellar', 'waternya', 'garnier', 'tipkul', 'kombinasi']",kulit gue pakai cetaphil micellar waternya garnier tipkul kombinasi
,Wed Nov 26 07:38:07 +0000 2025,0,0,0,0,in,@sbyfess apa yg km konsumsi jg pengaruh bkn skincare aja. junckfood manis2 pedas2 hindari. kalo jerawatmu parah cleanser bisa pake cetaphil gentle &amp; pake krim dari dokter klinik kecantikan kalo bisa. nanti pelan2 ganti skincare. jangan langsung ganti semua tp kenalin 1.1 dulu ke kulit,0,0,apa yg km konsumsi jg pengaruh bkn skincare aja junckfood manis pedas hindari kalo jerawatmu parah cleanser bisa pake cetaphil gentle amp pake krim dari dokter klinik kecantikan kalo bisa nanti pelan ganti skincare jangan langsung ganti semua tp kenalin dulu ke kulit,apa yg km konsumsi jg pengaruh bkn skincare aja junckfood manis pedas hindari kalo jerawatmu parah cleanser bisa pake cetaphil gentle amp pake krim dari dokter klinik kecantikan kalo bisa nanti pelan ganti skincare jangan langsung ganti semua tp kenalin dulu ke kulit,apa yang kamu konsumsi juga pengaruh bukan skincare saja junckfood manis pedas hindari kalau jerawatmu parah cleanser bisa pakai cetaphil gentle amp pakai krim dari dokter klinik kecantikan kalau bisa nanti pelan ganti skincare jangan langsung ganti semua tapi memperkenalkan dulu ke kulit,"['apa', 'yang', 'kamu', 'konsumsi', 'juga', 'pengaruh', 'bukan', 'skincare', 'saja', 'junckfood', 'manis', 'pedas', 'hindari', 'kalau', 'jerawatmu', 'parah', 'cleanser', 'bisa', 'pakai', 'cetaphil', 'gentle', 'amp', 'pakai', 'krim', 'dari', 'dokter', 'klinik', 'kecantikan', 'kalau', 'bisa', 'nanti', 'pelan', 'ganti', 'skincare', 'jangan', 'langsung', 'ganti', 'semua', 'tapi', 'memperkenalkan', 'dulu', 'ke', 'kulit']","['konsumsi', 'pengaruh', 'bukan', 'skincare', 'junckfood', 'manis', 'pedas', 'hindari', 'jerawatmu', 'parah', 'cleanser', 'pakai', 'cetaphil', 'gentle', 'amp', 'pakai', 'krim', 'dokter', 'klinik', 'kecantikan', 'pelan', 'ganti', 'skincare', 'langsung', 'ganti', 'memperkenalkan', 'kulit']",konsumsi pengaruh bukan skincare junckfood manis pedas hindar jerawat parah cleanser pakai cetaphil gentle amp pakai krim dokter klinik cantik pelan ganti skincare langsung ganti kenal kulit
,Wed Nov 26 05:26:20 +0000 2025,0,0,0,0,in,@basebdg tergantung kulitnya kak. dia berminyak kering atau gmn? soalnya cocok-cocokan jg kdg. aku dlu pk natrep sm skintific. tp skrg udh ganti full cosrx. cm fwnya aku pk cetaphil. klo mau liat di media aku ada. ,1,1,tergantung kulitnya kak dia berminyak kering atau gmn soalnya cocok cocokan jg kdg aku dlu pk natrep sm skintific tp skrg udh ganti full cosrx cm fwnya aku pk cetaphil klo mau liat di media aku ada,tergantung kulitnya kak dia berminyak kering atau gmn soalnya cocok cocokan jg kdg aku dlu pk natrep sm skintific tp skrg udh ganti full cosrx cm fwnya aku pk cetaphil klo mau liat di media aku ada,tergantung kulitnya kak dia berminyak kering atau bagaimana soalnya cocok cocokan juga kadang aku dulu pakai natrep sama skintific tapi sekarang sudah ganti full cosrx cuma fwnya aku pakai cetaphil kalau mau lihat di media aku ada,"['tergantung', 'kulitnya', 'kak', 'dia', 'berminyak', 'kering', 'atau', 'bagaimana', 'soalnya', 'cocok', 'cocokan', 'juga', 'kadang', 'aku', 'dulu', 'pakai', 'natrep', 'sama', 'skintific', 'tapi', 'sekarang', 'sudah', 'ganti', 'full', 'cosrx', 'cuma', 'fwnya', 'aku', 'pakai', 'cetaphil', 'kalau', 'mau', 'lihat', 'di', 'media', 'aku', 'ada']","['tergantung', 'kulitnya', 'kak', 'berminyak', 'kering', 'cocok', 'cocokan', 'kadang', 'pakai', 'natrep', 'skintific', 'ganti', 'full', 'cosrx', 'fwnya', 'pakai', 'cetaphil', 'lihat', 'media']",gantung kulit kak minyak kering cocok cocok kadang pakai natrep skintific ganti full cosrx fwnya pakai cetaphil lihat media
,Wed Nov 26 01:57:07 +0000 2025,0,0,0,0,in,@tanyakanrl 1st cleanser : cleanface pink/facetology fw : cetaphil/hadalabo putih exfo : viva peeling serum toner : - serum / ampul : hanasui vit c moist : hadalabo strip pink ss : azarine ijo tua,1,1,cleanser cleanface pink facetology fw cetaphil hadalabo putih exfo viva peeling serum toner serum ampul hanasui vit c moist hadalabo strip pink ss azarine ijo tua,cleanser cleanface pink facetology fw cetaphil hadalabo putih exfo viva peeling serum toner serum ampul hanasui vit c moist hadalabo strip pink ss azarine ijo tua,cleanser cleanface pink facetology fw cetaphil hadalabo putih exfo viva peeling serum toner serum ampul hanasui vit sih moist hadalabo strip pink ss azarine ijo tua,"['cleanser', 'cleanface', 'pink', 'facetology', 'fw', 'cetaphil', 'hadalabo', 'putih', 'exfo', 'viva', 'peeling', 'serum', 'toner', 'serum', 'ampul', 'hanasui', 'vit', 'sih', 'moist', 'hadalabo', 'strip', 'pink', 'ss', 'azarine', 'ijo', 'tua']","['cleanser', 'cleanface', 'pink', 'facetology', 'fw', 'cetaphil', 'hadalabo', 'putih', 'exfo', 'viva', 'peeling', 'serum', 'toner', 'serum', 'ampul', 'hanasui', 'vit', 'sih', 'moist', 'hadalabo', 'strip', 'pink', 'ss', 'azarine', 'ijo', 'tua']",cleanser cleanface pink facetology fw cetaphil hadalabo putih exfo viva peeling serum toner serum ampul hanasui vit sih moist hadalabo strip pink ss azarine ijo tua
,Tue Nov 25 15:53:41 +0000 2025,0,0,0,0,in,@tanyakanrl 1st cleanser : mw facetology calendulla fw : cetaphil gentle cleanser exfo : npure cica pad (tapi ada niat mau ganti) toner : npure (rencana ganti juga) serum / ampul : hanasui (mau ganti juga hehe) moist : cosrx oil free ss : wardah acne calming spf 50,1,1,cleanser mw facetology calendulla fw cetaphil gentle cleanser exfo npure cica pad tapi ada niat mau ganti toner npure rencana ganti juga serum ampul hanasui mau ganti juga hehe moist cosrx oil free ss wardah acne calming spf,cleanser mw facetology calendulla fw cetaphil gentle cleanser exfo npure cica pad tapi ada niat mau ganti toner npure rencana ganti juga serum ampul hanasui mau ganti juga hehe moist cosrx oil free ss wardah acne calming spf,cleanser mau facetology calendulla fw cetaphil gentle cleanser exfo npure cica pad tapi ada niat mau ganti toner npure rencana ganti juga serum ampul hanasui mau ganti juga hehe moist cosrx oil free ss wardah acne calming spf,"['cleanser', 'mau', 'facetology', 'calendulla', 'fw', 'cetaphil', 'gentle', 'cleanser', 'exfo', 'npure', 'cica', 'pad', 'tapi', 'ada', 'niat', 'mau', 'ganti', 'toner', 'npure', 'rencana', 'ganti', 'juga', 'serum', 'ampul', 'hanasui', 'mau', 'ganti', 'juga', 'hehe', 'moist', 'cosrx', 'oil', 'free', 'ss', 'wardah', 'acne', 'calming', 'spf']","['cleanser', 'facetology', 'calendulla', 'fw', 'cetaphil', 'gentle', 'cleanser', 'exfo', 'npure', 'cica', 'pad', 'niat', 'ganti', 'toner', 'npure', 'rencana', 'ganti', 'serum', 'ampul', 'hanasui', 'ganti', 'hehe', 'moist', 'cosrx', 'oil', 'free', 'ss', 'wardah', 'acne', 'calming', 'spf']",cleanser facetology calendulla fw cetaphil gentle cleanser exfo npure cica pad niat ganti toner npure rencana ganti serum ampul hanasui ganti hehe moist cosrx oil free ss wardah acne calming spf
